GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC04_EST_VC18,HC04_MOE_VC18
8600000US11701,11701,ZCTA5 11701,8663,402,5783,340,3634,307,2880,342,73494,5953,86909,7494,(X),(X),37500,8468,83672,4169,98146,5572,N,N,49534,5367,41.5,(X),(X),(X),(X),(X),(X),(X)
8600000US11702,11702,ZCTA5 11702,5141,217,3474,191,2884,187,1667,187,97294,8527,116919,9125,129154,7481,51772,7928,120947,7054,137362,8107,N,N,82928,16425,32.5,(X),(X),(X),(X),(X),(X),(X)
8600000US11703,11703,ZCTA5 11703,5511,210,4164,214,3283,237,1347,191,88983,4550,95692,4008,(X),(X),58935,12958,97439,5310,103485,6732,N,N,66891,7681,35.2,(X),(X),(X),(X),(X),(X),(X)
8600000US11704,11704,ZCTA5 11704,12955,288,9709,330,7323,359,3246,284,81072,2390,92749,4716,106362,7819,46115,6444,94879,3334,105804,4613,N,N,56231,5757,33.5,(X),(X),(X),(X),(X),(X),(X)
8600000US11705,11705,ZCTA5 11705,2631,125,2069,134,1666,121,562,109,98321,15484,109632,25902,(X),(X),51957,18753,124413,11141,138665,13130,N,N,62719,13080,42.2,(X),(X),(X),(X),(X),(X),(X)
8600000US11706,11706,ZCTA5 11706,19458,393,14618,559,9615,582,4840,454,79086,4256,88673,6195,105971,4235,38520,5935,93303,3730,100551,4599,N,N,56729,7326,43.1,(X),(X),(X),(X),(X),(X),(X)
8600000US11709,11709,ZCTA5 11709,2410,128,1798,120,1514,152,612,133,101221,11898,119758,15034,(X),(X),55000,14146,123671,12982,143766,16391,N,N,64472,12751,33.9,(X),(X),(X),(X),(X),(X),(X)
8600000US11710,11710,ZCTA5 11710,11363,268,9151,336,7861,372,2212,289,106204,4911,123956,7282,129264,7895,40222,13536,126629,5015,142374,6233,N,N,54954,6563,42.5,(X),(X),(X),(X),(X),(X),(X)
8600000US11713,11713,ZCTA5 11713,3273,220,2415,229,1536,194,858,155,71101,3552,74003,7313,(X),(X),45952,14590,89542,6131,98181,7353,N,N,60101,8624,43.9,(X),(X),(X),(X),(X),(X),(X)
8600000US11714,11714,ZCTA5 11714,7831,311,6070,309,5191,302,1761,230,88750,11556,114507,6654,120379,7756,34698,8933,109517,10657,125178,13258,N,N,52804,9290,30,(X),(X),(X),(X),(X),(X),(X)
8600000US11715,11715,ZCTA5 11715,1607,81,1188,101,959,111,419,100,108009,23815,119875,10948,(X),(X),60625,23277,115783,11302,132365,14128,N,N,66882,14390,40.2,(X),(X),(X),(X),(X),(X),(X)
8600000US11716,11716,ZCTA5 11716,3676,112,2620,202,1808,214,1056,201,79968,8433,92500,12959,114868,5894,49815,13659,92804,6182,103940,7985,N,N,59354,7744,37.6,(X),(X),(X),(X),(X),(X),(X)
8600000US11717,11717,ZCTA5 11717,13800,321,11447,357,6921,354,2353,260,70208,3716,68847,3715,80271,6895,33542,3355,82589,3146,81725,3369,N,N,44460,4876,51,(X),(X),(X),(X),(X),(X),(X)
8600000US11718,11718,ZCTA5 11718,1086,47,877,56,740,64,209,55,122692,15953,150750,18827,160417,12427,77695,28783,159211,15053,176843,17154,N,N,81620,18232,37,(X),(X),(X),(X),(X),(X),(X)
8600000US11719,11719,ZCTA5 11719,1038,137,680,125,575,106,358,96,91488,14414,131071,42993,147438,23107,51597,10528,127591,23413,159594,33362,N,N,58521,12252,44.3,(X),(X),(X),(X),(X),(X),(X)
8600000US11720,11720,ZCTA5 11720,8977,262,7302,309,5370,289,1675,199,91224,4365,100257,3998,(X),(X),52056,7400,105517,4644,112444,4928,N,N,63116,7479,34.5,(X),(X),(X),(X),(X),(X),(X)
8600000US11721,11721,ZCTA5 11721,2302,123,1775,124,1457,125,527,121,106786,18250,137455,19599,(X),(X),64176,10521,146749,12848,164723,16144,N,N,83126,21507,36.1,(X),(X),(X),(X),(X),(X),(X)
8600000US11722,11722,ZCTA5 11722,9789,287,7288,374,4064,384,2501,278,66570,2712,68362,2947,85799,8149,37211,6256,76960,3518,81915,4536,94450,6449,50421,5789,46.6,(X),(X),(X),(X),(X),(X),(X)
8600000US11724,11724,ZCTA5 11724,955,104,768,101,665,93,187,69,200313,50938,229375,36460,"250,000+",***,55524,18412,250678,36034,292091,41409,N,N,75047,34767,32.9,(X),(X),(X),(X),(X),(X),(X)
8600000US11725,11725,ZCTA5 11725,9675,174,7786,219,6876,223,1889,210,113613,6538,128839,5208,(X),(X),42049,8208,129815,5544,145783,5898,N,N,62148,8383,35.7,(X),(X),(X),(X),(X),(X),(X)
8600000US11726,11726,ZCTA5 11726,6343,236,4650,285,2854,258,1693,277,69123,5847,73925,6357,84727,19824,41819,4850,82613,4782,88435,5816,N,N,54106,7010,39.6,(X),(X),(X),(X),(X),(X),(X)
8600000US11727,11727,ZCTA5 11727,11242,371,7320,455,5260,378,3922,474,75408,7126,87042,6288,103582,6602,47264,8335,89402,3986,103060,7000,N,N,59659,5638,35.8,(X),(X),(X),(X),(X),(X),(X)
8600000US11729,11729,ZCTA5 11729,9233,274,6793,281,5045,317,2440,257,83122,3632,99984,7293,117409,8864,38623,7686,98880,4297,111077,5351,N,N,56341,7467,39.5,(X),(X),(X),(X),(X),(X),(X)
8600000US11730,11730,ZCTA5 11730,4461,175,3568,208,2836,298,893,178,115402,6274,125932,11167,134545,13950,41446,14004,130470,9667,146483,10193,N,N,56392,11811,35.6,(X),(X),(X),(X),(X),(X),(X)
8600000US11731,11731,ZCTA5 11731,10022,221,8016,236,6709,293,2006,242,99360,4870,111730,4131,(X),(X),39878,11345,118137,4765,129866,5798,N,N,69621,10878,33.3,(X),(X),(X),(X),(X),(X),(X)
8600000US11732,11732,ZCTA5 11732,1442,158,973,123,853,125,469,134,116125,28779,160078,17116,166250,30852,48125,41859,156496,19001,200738,25049,N,N,60466,14080,30.4,(X),(X),(X),(X),(X),(X),(X)
8600000US11733,11733,ZCTA5 11733,5701,210,4613,234,4004,241,1088,182,129358,9942,147440,7833,(X),(X),62344,21748,164421,11023,183444,12823,N,N,80578,12390,33.7,(X),(X),(X),(X),(X),(X),(X)
8600000US11735,11735,ZCTA5 11735,11062,257,8383,275,6649,314,2679,268,91156,4378,104706,2828,112463,6726,41486,6183,104188,4060,117635,4642,N,N,55740,6225,34.2,(X),(X),(X),(X),(X),(X),(X)
