GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC03_EST_VC35,HC03_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC03_EST_VC36,HC03_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC03_EST_VC37,HC03_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC03_EST_VC38,HC03_MOE_VC38,HC01_EST_VC39,HC01_MOE_VC39,HC02_EST_VC39,HC02_MOE_VC39,HC03_EST_VC39,HC03_MOE_VC39,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC03_EST_VC42,HC03_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43,HC03_EST_VC43,HC03_MOE_VC43
8600000US12031,12031,ZCTA5 12031,139,56,75,32,64,28,48.8,15.7,48.4,26.2,51.2,13.2,117.2,36.4,(X),(X),(X),(X),61.6,31.3,(X),(X),(X),(X),19.8,17.4,(X),(X),(X),(X),41.9,24.5,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12032,12032,ZCTA5 12032,795,150,386,72,409,101,47.1,7.2,50.1,6.4,44.6,7.2,94.4,22,(X),(X),(X),(X),74.3,21.3,(X),(X),(X),(X),39.9,17.6,(X),(X),(X),(X),34.4,13,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),1.5,(X),(X),(X),(X),(X)
8600000US12033,12033,ZCTA5 12033,7824,466,3812,296,4012,342,45,2.7,45.3,3.4,44.8,3.3,95,10.6,(X),(X),(X),(X),67.2,7,(X),(X),(X),(X),31.7,4.6,(X),(X),(X),(X),35.6,4.9,(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X),0.5,(X),(X),(X),(X),(X)
8600000US12035,12035,ZCTA5 12035,727,237,370,123,357,127,34.8,15.9,34.2,10,39.8,18.8,103.6,23.5,(X),(X),(X),(X),71.1,25.7,(X),(X),(X),(X),36,23.6,(X),(X),(X),(X),35.1,17.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12036,12036,ZCTA5 12036,220,110,110,61,110,55,38.7,14.4,41.3,10.5,38,19,100,31.5,(X),(X),(X),(X),80.3,35.5,(X),(X),(X),(X),34.4,22.7,(X),(X),(X),(X),45.9,22.7,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12037,12037,ZCTA5 12037,4288,515,2084,304,2204,274,44.7,3.6,43.3,5.4,46.1,3.7,94.6,11.7,(X),(X),(X),(X),64.6,10,(X),(X),(X),(X),26.9,5.6,(X),(X),(X),(X),37.7,8.3,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),0.6,(X),(X),(X),(X),(X)
8600000US12040,12040,ZCTA5 12040,97,45,39,17,58,35,50.5,11.7,58.5,5.3,37.6,20,67.2,44.3,(X),(X),(X),(X),51.6,41,(X),(X),(X),(X),18.8,21.2,(X),(X),(X),(X),32.8,32.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12041,12041,ZCTA5 12041,352,152,201,91,151,84,44.8,16.6,27.8,37.8,57.4,24.6,133.1,76.6,(X),(X),(X),(X),61.5,35.2,(X),(X),(X),(X),39.9,39.5,(X),(X),(X),(X),21.6,11.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12042,12042,ZCTA5 12042,236,137,132,81,104,62,58,13.9,65.2,33.6,55.8,2.8,126.9,41.5,(X),(X),(X),(X),107,76.3,(X),(X),(X),(X),89.5,78.6,(X),(X),(X),(X),17.5,24.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12043,12043,ZCTA5 12043,8390,368,4179,252,4211,253,35.7,2.7,33.6,2.9,37.6,2.2,99.2,8.2,(X),(X),(X),(X),43.1,4.8,(X),(X),(X),(X),19.8,3.2,(X),(X),(X),(X),23.2,3.8,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US12045,12045,ZCTA5 12045,326,189,184,106,142,98,43.3,7.6,49.5,14.1,37.8,12.4,129.6,74.1,(X),(X),(X),(X),67.2,40.9,(X),(X),(X),(X),24.6,30.8,(X),(X),(X),(X),42.6,34.9,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12046,12046,ZCTA5 12046,907,187,492,109,415,112,37.6,13.7,40.2,13.3,36.9,15.3,118.6,32.1,(X),(X),(X),(X),51.4,21.3,(X),(X),(X),(X),20.9,14.1,(X),(X),(X),(X),30.6,16.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12047,12047,ZCTA5 12047,20102,566,9644,473,10458,467,42,1.7,39.6,2,44.2,2.3,92.2,6.9,(X),(X),(X),(X),53.2,5.1,(X),(X),(X),(X),23.4,3.2,(X),(X),(X),(X),29.8,3,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.8,(X),(X),(X),(X),(X)
8600000US12051,12051,ZCTA5 12051,7081,386,5012,301,2069,227,34.6,3,30.6,2.7,42.1,4,242.2,29.4,(X),(X),(X),(X),29.4,4,(X),(X),(X),(X),12.4,3.1,(X),(X),(X),(X),17,3.4,(X),(X),(X),(X),0.2,(X),(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X)
8600000US12052,12052,ZCTA5 12052,1451,171,729,96,722,100,48.3,5.5,51.1,6.8,46.1,6.8,101,13.1,(X),(X),(X),(X),46.6,12.9,(X),(X),(X),(X),24.6,8.8,(X),(X),(X),(X),21.9,8.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12053,12053,ZCTA5 12053,4223,410,2240,264,1983,241,45.8,2.6,45.7,5.1,45.8,2.9,113,15.7,(X),(X),(X),(X),48.9,10.1,(X),(X),(X),(X),21.3,5.4,(X),(X),(X),(X),27.5,7.2,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.8,(X),(X),(X),(X),(X)
8600000US12054,12054,ZCTA5 12054,16810,891,8332,539,8478,528,41.7,1.2,41.6,1.9,41.7,1.7,98.3,6.9,(X),(X),(X),(X),64.4,5.7,(X),(X),(X),(X),22.9,2.7,(X),(X),(X),(X),41.5,4.3,(X),(X),(X),(X),0.1,(X),(X),(X),(X),(X),1.9,(X),(X),(X),(X),(X)
8600000US12056,12056,ZCTA5 12056,2446,348,1252,217,1194,209,45.5,4.2,45.9,7.7,45.1,5.3,104.9,21.8,(X),(X),(X),(X),51.7,15.3,(X),(X),(X),(X),21.2,7.9,(X),(X),(X),(X),30.6,13.8,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12057,12057,ZCTA5 12057,2189,276,1157,161,1032,164,38.8,3.5,39.7,4.8,38.2,4.7,112.1,18.1,(X),(X),(X),(X),79.6,14.4,(X),(X),(X),(X),26.9,9.7,(X),(X),(X),(X),52.7,12.1,(X),(X),(X),(X),1.6,(X),(X),(X),(X),(X),1.1,(X),(X),(X),(X),(X)
8600000US12058,12058,ZCTA5 12058,1276,440,673,297,603,176,49.7,2.3,49.4,5.7,50.4,2.7,111.6,34.8,(X),(X),(X),(X),46.2,18.5,(X),(X),(X),(X),28.1,12.9,(X),(X),(X),(X),18.1,13.6,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0,(X),(X),(X),(X),(X)
8600000US12059,12059,ZCTA5 12059,1555,207,732,115,823,142,46.9,2.7,47.5,2.8,46,5,88.9,17.7,(X),(X),(X),(X),50.4,11.7,(X),(X),(X),(X),21.9,8.3,(X),(X),(X),(X),28.5,8.1,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.9,(X),(X),(X),(X),(X)
8600000US12060,12060,ZCTA5 12060,1503,249,720,130,783,146,45.9,1.9,45.6,7.2,46.1,1.5,92,14.6,(X),(X),(X),(X),84.2,15.3,(X),(X),(X),(X),31,7.6,(X),(X),(X),(X),53.2,14,(X),(X),(X),(X),0,(X),(X),(X),(X),(X),0.3,(X),(X),(X),(X),(X)
